"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Households with Any Type of Computer","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phh_comp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","87.21","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","98.27","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","92.59","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","91.14","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","95.95","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","94.75","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","97.21","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","96.09","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","94.30","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","94.07","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","96.92","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","94.94","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","95.75","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","91.91","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","95.62","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","95.91","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","96.75","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","97.22","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","98.40","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","95.30","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","98.59","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","96.81","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","93.95","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","96.03","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","96.74","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","95.22","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","95.77","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","96.37","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","92.34","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","96.59","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","95.53","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","95.66","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","97.88","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","100.00","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","99.73","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","99.57","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","94.66","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","95.51","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","98.17","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","98.50","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","98.13","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","98.97","2019-2023","2020","Census","Phoenix (City, 2020)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","99.21","2019-2023","2020","Census","Phoenix (City, 2020)"
