District,ZipCode
1,85008
1,85012
1,85013
1,85014
1,85015
1,85016
1,85018
1,85020
1,85021
1,85022
1,85023
1,85024
1,85027
1,85028
1,85029
1,85032
1,85050
1,85054
1,85086
1,85201
1,85203
1,85207
1,85213
1,85215
1,85250
1,85251
1,85253
1,85254
1,85255
1,85256
1,85257
1,85258
1,85259
1,85260
1,85262
1,85263
1,85264
1,85266
1,85268
1,85281
1,85331
1,85377
1,85545
2,85118
2,85119
2,85121
2,85122
2,85128
2,85131
2,85132
2,85135
2,85137
2,85138
2,85139
2,85140
2,85142
2,85143
2,85147
2,85172
2,85173
2,85191
2,85192
2,85193
2,85194
2,85226
2,85248
2,85264
2,85324
2,85332
2,85339
2,85342
2,85353
2,85362
2,85390
2,85501
2,85530
2,85532
2,85533
2,85536
2,85539
2,85541
2,85542
2,85543
2,85544
2,85545
2,85550
2,85553
2,85554
2,85618
2,85643
2,85901
2,85902
2,85911
2,85912
2,85920
2,85923
2,85924
2,85925
2,85926
2,85927
2,85928
2,85929
2,85930
2,85931
2,85932
2,85933
2,85934
2,85935
2,85936
2,85937
2,85938
2,85939
2,85940
2,85941
2,85942
2,86001
2,86003
2,86004
2,86005
2,86011
2,86015
2,86016
2,86017
2,86018
2,86020
2,86022
2,86023
2,86024
2,86025
2,86028
2,86029
2,86030
2,86031
2,86032
2,86033
2,86034
2,86035
2,86036
2,86038
2,86039
2,86040
2,86042
2,86043
2,86044
2,86045
2,86046
2,86047
2,86052
2,86053
2,86054
2,86301
2,86303
2,86305
2,86313
2,86314
2,86315
2,86320
2,86321
2,86322
2,86323
2,86324
2,86325
2,86326
2,86327
2,86329
2,86331
2,86332
2,86333
2,86334
2,86335
2,86336
2,86337
2,86338
2,86343
2,86351
2,86411
2,86434
2,86435
2,86444
2,86502
2,86503
2,86504
2,86505
2,86506
2,86507
2,86508
2,86510
2,86511
2,86512
2,86514
2,86515
2,86520
2,86535
2,86538
2,86540
2,86544
2,86545
2,86547
2,86556
3,85003
3,85004
3,85006
3,85007
3,85008
3,85009
3,85012
3,85013
3,85014
3,85015
3,85016
3,85017
3,85018
3,85019
3,85031
3,85033
3,85034
3,85035
3,85037
3,85040
3,85041
3,85042
3,85043
3,85044
3,85051
3,85282
3,85283
3,85301
3,85305
3,85307
3,85339
3,85353
4,85008
4,85026
4,85034
4,85042
4,85044
4,85045
4,85048
4,85201
4,85202
4,85203
4,85204
4,85205
4,85206
4,85207
4,85208
4,85209
4,85210
4,85213
4,85215
4,85224
4,85225
4,85226
4,85234
4,85256
4,85257
4,85281
4,85282
4,85283
4,85284
4,85286
5,85118
5,85119
5,85120
5,85140
5,85142
5,85143
5,85206
5,85207
5,85208
5,85209
5,85212
5,85225
5,85233
5,85234
5,85236
5,85248
5,85249
5,85286
5,85295
5,85296
5,85297
5,85298
6,85122
6,85123
6,85128
6,85131
6,85132
6,85141
6,85145
6,85193
6,85194
6,85531
6,85533
6,85534
6,85535
6,85536
6,85540
6,85543
6,85546
6,85551
6,85552
6,85602
6,85603
6,85605
6,85606
6,85607
6,85608
6,85609
6,85610
6,85611
6,85613
6,85614
6,85615
6,85616
6,85617
6,85618
6,85619
6,85622
6,85623
6,85625
6,85627
6,85629
6,85630
6,85631
6,85632
6,85635
6,85637
6,85638
6,85641
6,85643
6,85645
6,85650
6,85653
6,85654
6,85658
6,85704
6,85705
6,85706
6,85707
6,85708
6,85710
6,85711
6,85712
6,85714
6,85715
6,85716
6,85718
6,85719
6,85730
6,85737
6,85739
6,85741
6,85742
6,85743
6,85747
6,85748
6,85749
6,85750
6,85755
6,85756
6,85922
7,85037
7,85043
7,85123
7,85131
7,85139
7,85145
7,85172
7,85193
7,85321
7,85322
7,85323
7,85326
7,85329
7,85333
7,85336
7,85337
7,85338
7,85340
7,85341
7,85349
7,85350
7,85353
7,85356
7,85364
7,85365
7,85392
7,85601
7,85603
7,85607
7,85608
7,85611
7,85614
7,85615
7,85617
7,85620
7,85621
7,85622
7,85624
7,85626
7,85629
7,85633
7,85634
7,85637
7,85638
7,85639
7,85640
7,85645
7,85646
7,85648
7,85653
7,85701
7,85705
7,85706
7,85707
7,85709
7,85710
7,85711
7,85713
7,85714
7,85716
7,85719
7,85721
7,85723
7,85724
7,85726
7,85730
7,85734
7,85735
7,85736
7,85743
7,85745
7,85746
7,85756
7,85757
8,85015
8,85017
8,85019
8,85021
8,85023
8,85024
8,85027
8,85029
8,85051
8,85053
8,85083
8,85085
8,85086
8,85087
8,85301
8,85302
8,85303
8,85304
8,85305
8,85306
8,85307
8,85308
8,85310
8,85331
8,85342
8,85345
8,85351
8,85373
8,85374
8,85375
8,85378
8,85381
8,85382
8,85383
8,85387
9,85033
9,85037
9,85301
9,85303
9,85305
9,85307
9,85309
9,85320
9,85322
9,85323
9,85325
9,85326
9,85328
9,85333
9,85334
9,85335
9,85338
9,85340
9,85342
9,85343
9,85344
9,85345
9,85346
9,85347
9,85348
9,85350
9,85352
9,85354
9,85355
9,85356
9,85357
9,85360
9,85361
9,85363
9,85364
9,85365
9,85367
9,85371
9,85374
9,85375
9,85378
9,85379
9,85383
9,85387
9,85388
9,85390
9,85392
9,85395
9,85396
9,86021
9,86022
9,86401
9,86403
9,86404
9,86406
9,86409
9,86411
9,86413
9,86426
9,86429
9,86431
9,86432
9,86433
9,86434
9,86436
9,86437
9,86438
9,86440
9,86441
9,86442
9,86443
9,86444
9,86445
